true_family,M_exact,M_0,M_rho,"M_rho,beta",M_star,M_cluster
M_exact,0.790000,0.000000,0.140000,0.000000,0.000000,0.070000
M_0,0.000000,0.845000,0.005000,0.150000,0.000000,0.000000
M_rho,0.190000,0.015000,0.550000,0.225000,0.000000,0.020000
"M_rho,beta",0.010000,0.200000,0.215000,0.560000,0.000000,0.015000
M_star,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
M_cluster,0.040000,0.000000,0.000000,0.000000,0.000000,0.960000
