condition_key,graph_id,evidence_level,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,rho_sensitivity,beta_sensitivity,cross_axis_js,diagnostic_score
RG016_low,RG016,low,3,0,D3-2:strong-remote,1,2,0,2,9e-06,2.2e-05,2.9e-05,3.9e-05
RG017_high,RG017,high,3,0,D3-2:strong-remote,1,3,0,2,0.002471,0.0087,0.010774,0.013245
RG017_medium,RG017,medium,3,0,D3-2:strong-remote,1,3,0,2,0.000294,0.000745,0.000973,0.001267
RG017_low,RG017,low,3,0,D3-2:strong-remote,1,3,0,2,1.6e-05,3.9e-05,5.1e-05,6.6e-05
RG018_high,RG018,high,2,1,D3-1:tree-like-remote,2,2,0,2,0.001166,0.000271,0.001428,0.001698
RG018_medium,RG018,medium,2,1,D3-1:tree-like-remote,2,2,0,2,9.8e-05,2.2e-05,0.000122,0.000144
RG018_low,RG018,low,2,1,D3-1:tree-like-remote,2,2,0,2,3e-06,0.0,3e-06,4e-06
RG019_high,RG019,high,2,1,D3-2:strong-remote,2,2,1,2,0.00023,0.005686,0.005762,0.005992
RG019_medium,RG019,medium,2,1,D3-2:strong-remote,2,2,1,2,0.00018,0.000856,0.000999,0.001179
RG019_low,RG019,low,2,1,D3-2:strong-remote,2,2,1,2,2e-06,1.7e-05,1.7e-05,1.9e-05
RG020_high,RG020,high,2,0,D3-1:tree-like-remote,2,2,0,2,0.000577,0.000916,0.001482,0.002058
RG020_medium,RG020,medium,2,0,D3-1:tree-like-remote,2,2,0,2,5.7e-05,2.8e-05,8.7e-05,0.000115
RG020_low,RG020,low,2,0,D3-1:tree-like-remote,2,2,0,2,2e-06,1e-06,3e-06,3e-06
RG021_high,RG021,high,2,0,D3-2:strong-remote,2,3,0,2,0.001865,0.000816,0.00268,0.003495
RG021_medium,RG021,medium,2,0,D3-2:strong-remote,2,3,0,2,0.000174,0.000149,0.000312,0.000461
RG021_low,RG021,low,2,0,D3-2:strong-remote,2,3,0,2,7e-06,7e-06,1.4e-05,2.1e-05
RG022_high,RG022,high,2,0,D3-2:strong-remote,2,4,0,2,0.002284,0.000879,0.00315,0.004029
RG022_medium,RG022,medium,2,0,D3-2:strong-remote,2,4,0,2,0.000185,0.000162,0.000329,0.000491
RG022_low,RG022,low,2,0,D3-2:strong-remote,2,4,0,2,6e-06,6e-06,1.1e-05,1.7e-05
RG023_high,RG023,high,2,0,D3-2:strong-remote,2,4,1,2,0.001931,0.000716,0.002644,0.00336
RG023_medium,RG023,medium,2,0,D3-2:strong-remote,2,4,1,2,0.000166,0.000148,0.000301,0.000449
RG023_low,RG023,low,2,0,D3-2:strong-remote,2,4,1,2,4e-06,4e-06,7e-06,1.1e-05
RG024_high,RG024,high,2,0,D3-2:strong-remote,2,3,1,2,0.000849,0.001753,0.002523,0.003372
RG024_medium,RG024,medium,2,0,D3-2:strong-remote,2,3,1,2,0.000159,0.00024,0.000382,0.000541
RG024_low,RG024,low,2,0,D3-2:strong-remote,2,3,1,2,8e-06,1.4e-05,2.1e-05,2.9e-05
RG025_high,RG025,high,2,0,D3-2:strong-remote,2,2,1,2,0.000734,0.000955,0.001649,0.002384
RG025_medium,RG025,medium,2,0,D3-2:strong-remote,2,2,1,2,8e-05,3.7e-05,0.000118,0.000155
RG025_low,RG025,low,2,0,D3-2:strong-remote,2,2,1,2,2e-06,1e-06,3e-06,3e-06
RG026_high,RG026,high,2,0,D3-1:tree-like-remote,2,2,0,2,0.001366,0.000452,0.001842,0.002293
RG026_medium,RG026,medium,2,0,D3-1:tree-like-remote,2,2,0,2,9.3e-05,4.2e-05,0.000133,0.000175
RG026_low,RG026,low,2,0,D3-1:tree-like-remote,2,2,0,2,3e-06,1e-06,4e-06,5e-06
RG027_high,RG027,high,2,0,D3-2:strong-remote,2,2,1,2,0.00155,0.000533,0.002102,0.002635
RG027_medium,RG027,medium,2,0,D3-2:strong-remote,2,2,1,2,8.1e-05,3.5e-05,0.000114,0.000149
RG027_low,RG027,low,2,0,D3-2:strong-remote,2,2,1,2,1e-06,0.0,1e-06,2e-06
RG028_high,RG028,high,5,0,D3-0:no-remote,0,0,0,1,0.0,0.001229,0.001229,0.001229
RG028_medium,RG028,medium,5,0,D3-0:no-remote,0,0,0,1,0.0,0.000291,0.000291,0.000291
RG028_low,RG028,low,5,0,D3-0:no-remote,0,0,0,1,0.0,3.2e-05,3.2e-05,3.2e-05
RG029_high,RG029,high,5,1,D3-0:no-remote,0,0,0,1,0.000922,0.000993,0.001915,0.002838
RG029_medium,RG029,medium,5,1,D3-0:no-remote,0,0,0,1,4.5e-05,6.2e-05,0.00011,0.000155
RG029_low,RG029,low,5,1,D3-0:no-remote,0,0,0,1,0.0,4e-06,4e-06,5e-06
RG030_high,RG030,high,5,2,D3-0:no-remote,0,0,0,1,0.000828,0.001824,0.002558,0.003386
RG030_medium,RG030,medium,5,2,D3-0:no-remote,0,0,0,1,6e-05,0.000117,0.000173,0.000233
RG030_low,RG030,low,5,2,D3-0:no-remote,0,0,0,1,1e-06,6e-06,7e-06,7e-06
RG031_high,RG031,high,5,3,D3-0:no-remote,0,0,0,1,0.000508,0.006086,0.006511,0.007019
RG031_medium,RG031,medium,5,3,D3-0:no-remote,0,0,0,1,0.00021,0.001017,0.001203,0.001413
RG031_low,RG031,low,5,3,D3-0:no-remote,0,0,0,1,1e-06,2e-05,2.1e-05,2.2e-05
RG032_high,RG032,high,5,4,D3-0:no-remote,0,0,0,1,0.001616,0.000592,0.001884,0.002476
RG032_medium,RG032,medium,5,4,D3-0:no-remote,0,0,0,1,0.000222,0.000385,0.000621,0.000844
RG032_low,RG032,low,5,4,D3-0:no-remote,0,0,0,1,3e-06,6.1e-05,6.5e-05,6.9e-05
RG033_high,RG033,high,5,4,D3-0:no-remote,0,0,0,1,0.001701,0.000617,0.002267,0.002885
RG033_medium,RG033,medium,5,4,D3-0:no-remote,0,0,0,1,9.3e-05,6.3e-05,0.000158,0.000221
RG033_low,RG033,low,5,4,D3-0:no-remote,0,0,0,1,1e-06,6e-06,7e-06,8e-06
RG034_high,RG034,high,5,5,D3-0:no-remote,0,0,0,1,0.00207,0.000781,0.002634,0.003415
RG034_medium,RG034,medium,5,5,D3-0:no-remote,0,0,0,1,0.00017,3.5e-05,0.000219,0.000254
RG034_low,RG034,low,5,5,D3-0:no-remote,0,0,0,1,1e-06,7e-06,9e-06,1e-05
RG035_high,RG035,high,5,6,D3-0:no-remote,0,0,0,1,0.003324,0.000341,0.003579,0.003921
RG035_medium,RG035,medium,5,6,D3-0:no-remote,0,0,0,1,0.000125,6e-06,0.000145,0.000151
RG035_low,RG035,low,5,6,D3-0:no-remote,0,0,0,1,1e-06,6e-06,7e-06,8e-06
RG036_high,RG036,high,5,3,D3-0:no-remote,0,0,0,1,0.001581,0.002206,0.003673,0.005255
