graph_id,evidence_level,left_family,right_family,belief_only_js,selection_only_js,combined_js,weighted_belief_js
RG036,high,M_star,M_cluster,0.001056,0.058741,0.236095,0.177354
RG100,high,M_exact,M_0,0.002228,0.109861,0.147295,0.037434
RG100,high,M_exact,M_rho,0.000151,0.086489,0.099901,0.013412
RG100,high,M_exact,"M_rho,beta",0.009536,0.089669,0.119889,0.03022
RG100,high,M_exact,M_star,0.002228,0.09447,0.219186,0.124716
RG100,high,M_exact,M_cluster,0.0,0.0,0.0,0.0
RG100,high,M_0,M_rho,0.001243,0.003327,0.007164,0.003837
RG100,high,M_0,"M_rho,beta",0.003004,0.00975,0.012416,0.002666
RG100,high,M_0,M_star,-0.0,0.018746,0.045832,0.027086
RG100,high,M_0,M_cluster,0.002228,0.109869,0.147303,0.037434
RG100,high,M_rho,"M_rho,beta",0.007598,0.015882,0.021875,0.005993
RG100,high,M_rho,M_star,0.001243,0.027504,0.070917,0.043413
RG100,high,M_rho,M_cluster,0.000151,0.086494,0.099906,0.013412
RG100,high,"M_rho,beta",M_star,0.003004,0.001633,0.040096,0.038463
RG100,high,"M_rho,beta",M_cluster,0.009536,0.089679,0.119898,0.03022
RG100,high,M_star,M_cluster,0.002228,0.09448,0.219196,0.124716
