graph_id,evidence_level,family,p_R,p_G,p_B
RG007,medium,M_star,0.20363,0.398185,0.398185
RG007,medium,M_cluster,0.296882,0.351559,0.351559
RG007,low,M_exact,0.30983,0.345085,0.345085
RG007,low,M_0,0.300907,0.349546,0.349546
RG007,low,M_rho,0.306516,0.346742,0.346742
RG007,low,"M_rho,beta",0.308462,0.345769,0.345769
RG007,low,M_star,0.300907,0.349546,0.349546
RG007,low,M_cluster,0.30983,0.345085,0.345085
RG008,high,M_exact,0.09504,0.778973,0.125987
RG008,high,M_0,0.333333,0.333333,0.333333
RG008,high,M_rho,0.163043,0.596983,0.239975
RG008,high,"M_rho,beta",0.264698,0.437196,0.298105
RG008,high,M_star,0.448064,0.103872,0.448064
RG008,high,M_cluster,0.09504,0.778973,0.125987
RG008,medium,M_exact,0.240951,0.480178,0.278871
RG008,medium,M_0,0.333333,0.333333,0.333333
RG008,medium,M_rho,0.268499,0.42734,0.304162
RG008,medium,"M_rho,beta",0.300062,0.38439,0.315548
RG008,medium,M_star,0.387324,0.225352,0.387324
RG008,medium,M_cluster,0.240951,0.480178,0.278871
RG008,low,M_exact,0.321234,0.354313,0.324453
RG008,low,M_0,0.333333,0.333333,0.333333
RG008,low,M_rho,0.324904,0.347478,0.327618
RG008,low,"M_rho,beta",0.329485,0.34135,0.329166
RG008,low,M_star,0.346831,0.306338,0.346831
RG008,low,M_cluster,0.321234,0.354313,0.324453
RG009,high,M_exact,0.084232,0.810892,0.104876
RG009,high,M_0,0.333333,0.333333,0.333333
RG009,high,M_rho,0.162713,0.664891,0.172396
RG009,high,"M_rho,beta",0.269235,0.466294,0.264471
RG009,high,M_star,0.448064,0.103872,0.448064
RG009,high,M_cluster,0.24021,0.522268,0.237522
RG009,medium,M_exact,0.236421,0.490524,0.273055
RG009,medium,M_0,0.333333,0.333333,0.333333
RG009,medium,M_rho,0.258708,0.463599,0.277693
RG009,medium,"M_rho,beta",0.295127,0.409128,0.295746
RG009,medium,M_star,0.387324,0.225352,0.387324
RG009,medium,M_cluster,0.282721,0.436222,0.281057
RG009,low,M_exact,0.32035,0.356154,0.323495
RG009,low,M_0,0.333333,0.333333,0.333333
RG009,low,M_rho,0.32123,0.355994,0.322776
RG009,low,"M_rho,beta",0.326981,0.347774,0.325245
RG009,low,M_star,0.346831,0.306338,0.346831
RG009,low,M_cluster,0.321704,0.356981,0.321315
RG010,high,M_exact,0.681077,0.147254,0.171669
RG010,high,M_0,0.333333,0.333333,0.333333
RG010,high,M_rho,0.505162,0.217309,0.277529
RG010,high,"M_rho,beta",0.404416,0.283231,0.312352
RG010,high,M_star,0.103872,0.448064,0.448064
RG010,high,M_cluster,0.681077,0.147254,0.171669
RG010,medium,M_exact,0.424455,0.277102,0.298444
RG010,medium,M_0,0.333333,0.333333,0.333333
RG010,medium,M_rho,0.391559,0.292445,0.315997
RG010,medium,"M_rho,beta",0.368961,0.309641,0.321398
RG010,medium,M_star,0.225352,0.387324,0.387324
RG010,medium,M_cluster,0.424455,0.277102,0.298444
RG010,low,M_exact,0.350375,0.323969,0.325656
RG010,low,M_0,0.333333,0.333333,0.333333
RG010,low,M_rho,0.344994,0.326643,0.328363
RG010,low,"M_rho,beta",0.341103,0.329566,0.329331
RG010,low,M_star,0.306338,0.346831,0.346831
RG010,low,M_cluster,0.350375,0.323969,0.325656
RG011,high,M_exact,0.787994,0.121877,0.090128
RG011,high,M_0,0.333333,0.333333,0.333333
RG011,high,M_rho,0.539833,0.271239,0.188928
RG011,high,"M_rho,beta",0.419615,0.313654,0.266731
RG011,high,M_star,0.103872,0.448064,0.448064
RG011,high,M_cluster,0.787994,0.121877,0.090128
RG011,medium,M_exact,0.542871,0.248116,0.209013
RG011,medium,M_0,0.333333,0.333333,0.333333
RG011,medium,M_rho,0.436082,0.300162,0.263756
RG011,medium,"M_rho,beta",0.391116,0.315385,0.293499
RG011,medium,M_star,0.225352,0.387324,0.387324
RG011,medium,M_cluster,0.542871,0.248116,0.209013
