graph_id,evidence_level,selected_in_analysis_3,n_nodes,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,mean_js_all_pairs,min_js_all_pairs,mean_tv_all_pairs,exact_vs_rho_js,rho_vs_star_js,star_vs_cluster_js,exact_vs_star_js,cluster_vs_exact_js,M0_vs_nonlocal_mean_js
RG012,high,False,5,3,1,D3-2:strong-remote,1,3,0,2,0.104095,0.001635,0.366391,0.024694,0.236469,0.202792,0.381031,0.03852,0.08359
RG012,medium,False,5,3,1,D3-2:strong-remote,1,3,0,2,0.024759,0.0008,0.188056,0.005651,0.049723,0.062723,0.087405,0.002204,0.021339
RG012,low,False,5,3,1,D3-2:strong-remote,1,3,0,2,0.001413,2e-05,0.044125,0.000341,0.002553,0.004152,0.004753,2e-05,0.001185
RG013,high,False,5,3,1,D3-2:strong-remote,1,2,0,2,0.106361,0.001235,0.371659,0.020767,0.193161,0.332071,0.316489,0.001235,0.085296
RG013,medium,False,5,3,1,D3-2:strong-remote,1,2,0,2,0.021143,0.001761,0.17248,0.002143,0.034554,0.07953,0.053174,0.003941,0.016609
RG013,low,False,5,3,1,D3-2:strong-remote,1,2,0,2,0.001012,5.8e-05,0.037202,6.6e-05,0.001555,0.004238,0.00226,0.000317,0.000728
RG014,high,False,5,3,1,D3-1:tree-like-remote,1,1,0,2,0.086103,0.0,0.336936,0.019021,0.158807,0.272423,0.272423,0.0,0.064981
RG014,medium,False,5,3,1,D3-1:tree-like-remote,1,1,0,2,0.011102,0.0,0.119667,0.001347,0.024747,0.037397,0.037397,0.0,0.007626
RG014,low,False,5,3,1,D3-1:tree-like-remote,1,1,0,2,0.000381,0.0,0.020903,2.6e-05,0.000984,0.001331,0.001331,0.0,0.000218
RG015,high,False,5,3,0,D3-1:tree-like-remote,1,1,0,2,0.064922,0.0,0.291224,0.015838,0.121286,0.214955,0.214955,0.0,0.044792
RG015,medium,False,5,3,0,D3-1:tree-like-remote,1,1,0,2,0.007405,0.0,0.093165,0.000617,0.018407,0.025661,0.025661,0.0,0.004452
RG015,low,False,5,3,0,D3-1:tree-like-remote,1,1,0,2,0.000331,0.0,0.018957,1.8e-05,0.000886,0.001153,0.001153,0.0,0.000181
RG016,high,False,5,3,0,D3-2:strong-remote,1,2,0,2,0.081661,0.000404,0.328606,0.020336,0.146202,0.2632,0.259409,0.000404,0.060482
RG016,medium,False,5,3,0,D3-2:strong-remote,1,2,0,2,0.014251,0.000845,0.139904,0.001282,0.026307,0.055035,0.038833,0.00179,0.010281
RG016,low,False,5,3,0,D3-2:strong-remote,1,2,0,2,0.000907,3.7e-05,0.035064,5.3e-05,0.001428,0.003862,0.002032,0.000294,0.000639
RG017,high,False,5,3,0,D3-2:strong-remote,1,3,0,2,0.080713,0.001572,0.326773,0.021364,0.171747,0.202792,0.295791,0.011447,0.061045
RG017,medium,False,5,3,0,D3-2:strong-remote,1,3,0,2,0.017527,0.000775,0.15639,0.001503,0.03441,0.062723,0.049911,0.000775,0.013853
RG017,low,False,5,3,0,D3-2:strong-remote,1,3,0,2,0.001099,6.7e-05,0.038723,7.5e-05,0.002042,0.004152,0.002897,0.000113,0.000871
RG018,high,True,5,2,1,D3-1:tree-like-remote,2,2,0,2,0.046388,0.0,0.226242,0.022749,0.063836,0.153924,0.153924,0.0,0.033944
RG018,medium,True,5,2,1,D3-1:tree-like-remote,2,2,0,2,0.007844,0.0,0.097765,0.000772,0.01896,0.027281,0.027281,0.0,0.004514
RG018,low,True,5,2,1,D3-1:tree-like-remote,2,2,0,2,0.000349,0.0,0.019337,1.9e-05,0.00091,0.001192,0.001192,0.0,0.000191
RG019,high,False,5,2,1,D3-2:strong-remote,2,2,1,2,0.023073,0.0,0.134083,0.001729,0.058413,0.065091,0.065091,0.0,0.015003
RG019,medium,False,5,2,1,D3-2:strong-remote,2,2,1,2,0.006817,0.0,0.091841,0.002104,0.014282,0.016544,0.016544,0.0,0.005526
RG019,low,False,5,2,1,D3-2:strong-remote,2,2,1,2,0.000205,0.0,0.015048,5.7e-05,0.000701,0.000454,0.000454,0.0,0.000122
RG020,high,False,5,2,0,D3-1:tree-like-remote,2,2,0,2,0.030214,0.0,0.162175,0.012777,0.045758,0.097027,0.097027,0.0,0.020895
RG020,medium,False,5,2,0,D3-1:tree-like-remote,2,2,0,2,0.006384,0.0,0.084023,0.000469,0.016152,0.02184,0.02184,0.0,0.003536
RG020,low,False,5,2,0,D3-1:tree-like-remote,2,2,0,2,0.000324,0.0,0.018457,1.5e-05,0.000865,0.001108,0.001108,0.0,0.000174
RG021,high,False,5,2,0,D3-2:strong-remote,2,3,0,2,0.061388,0.000548,0.270328,0.026444,0.083708,0.196065,0.192106,0.00242,0.049044
RG021,medium,False,5,2,0,D3-2:strong-remote,2,3,0,2,0.012885,0.000211,0.131794,0.001063,0.025338,0.047393,0.036562,0.002371,0.00889
