graph_id,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,preferred_color_template,is_tree,edge_count
G04,low,A3,0.75,0.342375,0.358009,0.299616,1.095833,0.000178,1e-06,0-2-2-1,False,7
G04,low,A4,1.0,0.341836,0.358733,0.299431,1.095775,0.000209,0.0,0-2-2-1,False,7
G05,high,A0,0.0,0.057714,0.471143,0.471143,0.873772,0.0,0.237319,0-2-0-1,False,7
G05,high,A1,0.25,0.114768,0.509048,0.376185,0.959957,0.033611,0.149238,0-2-0-1,False,7
G05,high,A2,0.5,0.206346,0.468832,0.324823,1.046056,0.139795,0.059122,0-2-0-1,False,7
G05,high,A3,0.75,0.292086,0.38668,0.321234,1.091668,0.27421,0.009321,0-2-0-1,False,7
G05,high,A4,1.0,0.34328,0.32678,0.32994,1.098383,0.374986,0.0,0-2-0-1,False,7
G05,medium,A0,0.0,0.20363,0.398185,0.398185,1.057395,0.0,0.023645,0-2-0-1,False,7
G05,medium,A1,0.25,0.242628,0.394469,0.362903,1.078403,0.005145,0.00892,0-2-0-1,False,7
G05,medium,A2,0.5,0.275605,0.374296,0.350098,1.090463,0.0152,0.001961,0-2-0-1,False,7
G05,medium,A3,0.75,0.292581,0.356894,0.350525,1.094763,0.022283,0.000199,0-2-0-1,False,7
G05,medium,A4,1.0,0.299592,0.348033,0.352375,1.095991,0.025758,0.0,0-2-0-1,False,7
G05,low,A0,0.0,0.300907,0.349546,0.349546,1.096205,0.0,0.000217,0-2-0-1,False,7
G05,low,A1,0.25,0.305174,0.348199,0.346627,1.0968,4.5e-05,7.4e-05,0-2-0-1,False,7
G05,low,A2,0.5,0.308347,0.346038,0.345615,1.097189,0.000131,1.4e-05,0-2-0-1,False,7
G05,low,A3,0.75,0.30986,0.344534,0.345606,1.097356,0.00019,1e-06,0-2-0-1,False,7
G05,low,A4,1.0,0.310467,0.34382,0.345713,1.097419,0.000219,0.0,0-2-0-1,False,7
G06,high,A0,0.0,0.057714,0.471143,0.471143,0.873772,0.0,0.246141,0-0-1-2,False,8
G06,high,A1,0.25,0.116359,0.44182,0.44182,0.972101,0.024808,0.143415,0-0-1-2,False,8
G06,high,A2,0.5,0.232966,0.383517,0.383517,1.074503,0.167242,0.032267,0-0-1-2,False,8
G06,high,A3,0.75,0.317141,0.341429,0.341429,1.098017,0.320467,0.002439,0-0-1-2,False,8
G06,high,A4,1.0,0.350203,0.324899,0.324899,1.097977,0.389927,0.0,0-0-1-2,False,8
G06,medium,A0,0.0,0.20363,0.398185,0.398185,1.057395,0.0,0.024021,0-0-1-2,False,8
G06,medium,A1,0.25,0.246296,0.376852,0.376852,1.080657,0.005351,0.007246,0-0-1-2,False,8
G06,medium,A2,0.5,0.287198,0.356401,0.356401,1.0937,0.019737,0.000421,0-0-1-2,False,8
G06,medium,A3,0.75,0.298468,0.350766,0.350766,1.095826,0.025169,9e-06,0-0-1-2,False,8
G06,medium,A4,1.0,0.300444,0.349778,0.349778,1.096135,0.026185,0.0,0-0-1-2,False,8
G06,low,A0,0.0,0.300907,0.349546,0.349546,1.096205,0.0,0.000202,0-0-1-2,False,8
G06,low,A1,0.25,0.305687,0.347156,0.347156,1.096867,5.4e-05,4.7e-05,0-0-1-2,False,8
G06,low,A2,0.5,0.309319,0.345341,0.345341,1.097298,0.000167,2e-06,0-0-1-2,False,8
