graph_id,n_nodes,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,preferred_color_template
RG003,5,low,A1,0.25,0.303495,0.348797,0.347708,1.096576,1.7e-05,4.3e-05,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG003,5,low,A2,0.5,0.305797,0.347224,0.346979,1.096881,5.7e-05,9e-06,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG003,5,low,A3,0.75,0.30707,0.346176,0.346754,1.097038,9e-05,1e-06,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG003,5,low,A4,1.0,0.307623,0.345691,0.346685,1.097104,0.000107,0.0,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG004,5,high,A0,0.0,0.471143,0.471143,0.057714,0.873772,0.0,0.127433,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,high,A1,0.25,0.341396,0.602242,0.056362,0.834391,0.036543,0.025427,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,high,A2,0.5,0.277203,0.66837,0.054426,0.783377,0.083492,0.003209,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,high,A3,0.75,0.252352,0.694325,0.053323,0.757082,0.107472,0.000238,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,high,A4,1.0,0.243215,0.703937,0.052848,0.74638,0.117177,0.0,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,medium,A0,0.0,0.398185,0.398185,0.20363,1.057395,0.0,0.038022,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,medium,A1,0.25,0.347072,0.450374,0.202554,1.04996,0.006713,0.012609,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,medium,A2,0.5,0.307534,0.491789,0.200677,1.03396,0.021456,0.002194,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
